feature,f_score,p_value,group,rank,global_rank
Contract,1055.383446723991,2.3527813292611157e-212,billing,1,1
tenure,824.2891683611724,2.672845732306362e-169,profile,1,2
TechSupport,496.7788984448363,1.55697710884467e-105,services,1,3
OnlineSecurity,490.7890232122787,2.4577264501315534e-104,services,2,4
tenure_bucket,423.89851544890405,7.14719216345589e-91,profile,2,5
TotalCharges,236.64374023814176,2.4305998460320865e-52,billing,2,6
OnlineBackup,216.05191898217305,5.04947622325533e-48,services,3,7
MonthlyCharges,214.8441795757362,9.05737128269435e-48,billing,3,8
PaperlessBilling,211.90322324617767,3.7598240375716936e-47,billing,4,9
DeviceProtection,170.19577495963082,2.400327845383218e-38,services,4,10
Dependents,150.065168597252,4.5391886364404354e-34,profile,3,11
Partner,138.61885218541954,1.2501806806407784e-31,profile,4,12
SeniorCitizen,129.72948205345236,9.913084863922595e-30,profile,5,13
PaymentMethod,68.10644893678038,1.9114355668934618e-16,billing,5,14
protection_bundle,65.6018857566097,6.708912762614213e-16,services,5,15
active_services,25.231891452462452,5.240255296005102e-07,services,6,16
StreamingMovies,10.090617284439075,0.0014983091110265727,services,7,17
InternetService,10.029275232288345,0.001548943278920037,services,8,18
StreamingTV,9.72258365031175,0.0018293534691225179,services,9,19
MultipleLines,9.590405242016613,0.0019655862812685363,services,10,20
streaming_bundle,5.440999725295104,0.01970445401859264,services,11,21
PhoneService,2.4797264308853166,0.11537847764252067,services,12,22
charges_drift,0.8784671110300027,0.3486620584131808,billing,6,23
gender,0.0037779780157751078,0.9509908626812953,profile,6,24
